lid,yolo_id,evento,frame,tempo_seg,posicao_x,posicao_y,contador_resultante
1,1,ENTROU,110,3.67,630.7,269.2,1
2,3,ENTROU,318,10.6,631.6,492.0,2
2,3,SAIU,343,11.43,652.3,465.2,1
2,3,ENTROU,367,12.23,639.2,496.4,2
2,3,SAIU,392,13.07,645.4,470.4,1
2,3,ENTROU,417,13.9,635.0,484.6,2
2,3,SAIU,441,14.7,641.4,484.5,1
3,7,SAIU,668,22.27,662.9,251.8,0
3,7,ENTROU,693,23.1,631.3,223.5,1
3,9,ENTROU,742,24.73,638.9,233.5,2
3,10,SAIU,767,25.57,650.3,247.3,1
3,10,ENTROU,792,26.4,635.8,247.6,2
4,12,SAIU,999,33.3,644.8,485.7,1
